Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,
Autobusai,M5,2963791711,509 kwmt,21182356,55687912,44,338,1031,79,
Autobusai,M5,2963761644,515 kwmt,21194124,55661380,0,162,1004,0,
Autobusai,M5,2963751655,521 kwmt,21126566,55719572,46,340,1015,18,
Autobusai,M5,2963781717,513 kwmt,21132210,55731936,42,182,1037,78,
Autobusai,M5,2963771701,517 kwmt,21164460,55698924,42,54,1021,-2,
Autobusai,M6,2963951653,516 kwmt,21170336,55671644,9,150,1013,129,
Autobusai,M6,2963961633,511 kwmt,21201816,55661684,0,68,993,0,
Autobusai,M6,2964001643,512 kwmt,21201880,55662016,0,342,1003,0,
Autobusai,M6,2963981715,514 kwmt,21126218,55720004,45,160,1035,-61,
Autobusai,M6,2963931718,525 kwmt,21198582,55671540,25,338,1038,-25,
Autobusai,M6,2963971705,522 kwmt,21147556,55698548,16,154,1025,-5,
Autobusai,M6,2963991650,520 kwmt,21124850,55722344,13,338,1010,244,
Autobusai,M6,2963941703,510 kwmt,21152372,55693124,0,334,1023,50,
Autobusai,20,2964591700,70 kwmt,21159940,55665900,37,238,1020,279,
Autobusai,M8,3089101652,FTR 777 kwmt,21168910,55673148,22,198,1012,54,
Autobusai,M8,3089121701,KGT 677 kwmt,21145604,55701120,27,334,1021,94,
Autobusai,M8,3089081726,KFD 377 kwmt,21194256,55661176,0,166,1046,0,
Autobusai,M8,3089141648,KFD 277 kwmt,21132452,55734720,37,2,1008,106,
Autobusai,M8,3089151705,KGT 177 kwmt,21132234,55711136,4,154,1025,180,
Autobusai,M8,3089131713,KGT 577 kwmt,21172096,55669672,36,342,1033,19,
Autobusai,M8,3089111717,KGE 977 kwmt,21133004,55745612,26,92,1037,34,
Autobusai,15B,3337941720,72 kwmt,21130422,55753972,32,170,1040,13,
Autobusai,1A,3338661649,16 kwmt,21141574,55705468,0,314,1009,0,
Autobusai,12,3338711646,59 kwt,21142070,55705084,0,300,1006,0,
Autobusai,12,3338691653,48 wt,21172926,55667556,0,160,1013,92,
Autobusai,12,3338671702,51 wt,21179396,55691252,5,334,1022,-1,
Autobusai,12,3338701717,8 w,21170204,55657484,59,334,1037,124,
Autobusai,12,3338681711,11 wt,21171248,55697012,33,142,1031,0,
Autobusai,2A,3338991714,506 kwm,21130886,55712696,12,158,1034,29,
Autobusai,2A,3338981656,504 kwm,21171268,55682068,28,62,1016,0,
Autobusai,2A,3339001705,505 kwm,21132298,55711388,6,318,1025,64,
Autobusai,4,3426351702,HJG 433 t,21147256,55699236,14,334,1022,191,
Autobusai,4,3426341718,HFM 526 t,21088512,55762492,44,168,1038,-70,
Autobusai,4,3426331654,HUV 755 t,21147642,55698412,17,176,1014,-1,
Autobusai,4,,GTJ 855 t,21187886,55677184,0,250,,,
Autobusai,3,3459691647,KEB 954 ,21128938,55734344,46,18,1007,249,
Autobusai,3,3459731649,LEI 074 t,21152626,55678252,0,250,1009,0,
Autobusai,3,3459741712,KJU 659 wt,21123090,55728220,45,196,1032,192,
Autobusai,3,3459721631,LFI 249 wt,21148392,55677320,0,250,991,0,
Autobusai,3,3459701658,KRG 512 t,21128374,55716732,7,346,1018,61,
Autobusai,3,3459751710,LPY 956 t,21155386,55690060,17,334,1030,88,
Autobusai,3,3459761659,LRL 984 wt,21146494,55699848,33,154,1019,258,
Autobusai,3,3459711638,HGO 053 t,21148642,55677396,0,242,998,0,
Autobusai,17,3459911704,MCE 863 wt,21125146,55721828,15,330,1024,28,
Autobusai,17,3459921718,HOV 568 ,21136284,55775568,25,198,1038,-2,
Autobusai,17,3459931650,MDS 216 wt,21133110,55712008,29,62,1010,458,
Autobusai,15,3553471656,EOR 077 wt,21138378,55720156,17,284,1016,67,
Autobusai,15,3553481701,HJG 434 t,21165864,55701172,0,146,1021,119,
Autobusai,15,3553511625,KTO 074 ,21201706,55662312,0,338,985,0,
Autobusai,15,3553491643,LGL 299 t,21201690,55662004,13,196,1003,0,
Autobusai,15,3553501719,LPY 526 kwt,21130768,55749232,32,184,1039,24,
Autobusai,15,3553461714,LCR 438 t,21193208,55674964,0,24,1034,25,
Autobusai,2,3594321700,HEM 429 t,21178918,55691864,8,350,1020,414,
Autobusai,2,3594351559,KDA 499 ,21174124,55665592,0,162,959,0,
Autobusai,2,3594331639,KCB 693 t,21174304,55665392,0,150,999,0,
Autobusai,2,3594361640,MDS 385 wt,21111440,55724888,13,318,1000,0,
Autobusai,2,3594341700,LFI 293 t,21170048,55697884,38,142,1020,27,
Autobusai,6,3594571643,HUV 564 t,21129496,55714868,27,344,1003,425,
Autobusai,6,3594491659,JME 281 ,21151170,55693844,2,156,1019,-76,
Autobusai,6,3594541654,MEI 005 wt,21145374,55701244,30,338,1014,153,
Autobusai,6,3594581714,KRF 447 t,21189102,55669760,35,248,1034,84,
Autobusai,6,3594551632,HHN 170 t,21098130,55728352,16,38,992,0,
Autobusai,6,3594561710,HUV 426 t,21128672,55716284,22,162,1030,1,
Autobusai,6,3594501601,LGK 985 t,21201684,55661980,0,44,961,0,
Autobusai,6,3594521646,HGJ 689 t,21173850,55666352,28,162,1006,80,
Autobusai,6,3594511635,HJG 375 t,21201506,55661844,5,184,995,0,
Autobusai,6,3594531704,GOP 600 wt,21164104,55681688,31,330,1024,114,
Autobusai,13,3594721717,502 kwm,21156120,55714100,32,66,1037,28,
Autobusai,9,3594831646,KNT 197 ,21151274,55680568,9,164,1006,296,
Autobusai,9,3594861710,ECU 005 ,21124080,55730372,36,196,1030,55,
Autobusai,9,3594851658,FGS 050 ,21135510,55700120,7,178,1018,97,
Autobusai,9,3594821707,FRN 050 kwt,21170190,55673420,32,322,1027,161,
Autobusai,9,3594891639,JZD 050 t,21132144,55729716,3,2,999,-131,
Autobusai,9,3594811721,KCB 588 t,21194694,55660988,11,118,1041,0,
Autobusai,9,3594881620,KOZ 377 wt,21194232,55661624,17,160,980,0,
Autobusai,9,3594841634,HGO 683 ,21193716,55661032,0,160,994,0,
Autobusai,9,3594801652,KJU 879 wt,21133578,55705424,42,324,1012,-42,
Autobusai,9,3594871625,HHM 484 t,21128868,55754716,0,262,985,0,
Autobusai,5,3595081703,1 w,21165344,55702260,8,330,1023,-31,
Autobusai,5,3595041649,54 wt,21178924,55691056,39,154,1009,227,
Autobusai,5,3595051707,27 wt,21132390,55711056,13,152,1027,92,
Autobusai,5,3595061650,113 wt,21138466,55707176,22,292,1010,367,
Autobusai,5,3595071636,13 wt,21130804,55722344,0,188,996,0,
Autobusai,5,3595031717,5 wt,21193518,55663844,25,4,1037,100,
Autobusai,5B,3595171633,115 wt,21127928,55718216,15,82,993,586,
Autobusai,23,3595581710,21 kwmt,21168424,55754144,50,222,1030,55,
Autobusai,24,3666541700,71 kwmt,21122526,55725548,38,166,1020,0,
Autobusai,34,3710841623,47 wt,21168684,55674368,5,146,983,9,
Autobusai,7,3735761712,76 kwmt,21174458,55752316,0,74,1032,0,
Autobusai,14,3735781651,JCU 812 t,21131016,55712544,7,164,1011,389,
Autobusai,14,3735791639,JEU 160 t,21156188,55686064,0,244,999,0,
Autobusai,14,3735801716,BGR 050 ,21151200,55753500,46,268,1036,50,
Autobusai,14,3735771703,HFN 049 t,21124022,55730204,40,198,1023,66,
Autobusai,14,3735811658,HHM 325 t,21125754,55730384,28,86,1018,-13,
Autobusai,14,3735821646,HHM 137 t,21141888,55753128,27,100,1006,208,
Autobusai,14,3735831711,HEN 593 t,21140958,55705776,32,320,1031,-107,
Autobusai,30,3773471630,JZU 797 kwm,21142494,55706152,0,142,990,0,
Autobusai,30,3773481705,JZU 787 kwm,21201098,55723764,12,148,1025,249,
Autobusai,8,3787301704,130 wit,21154838,55689968,23,150,1024,-59,
Autobusai,8,3787381709,90 kwit,21170516,55672188,15,334,1029,74,
Autobusai,8,3787281726,32 wit,21193816,55661108,0,162,1046,0,
Autobusai,8,3787251651,91 kwit,21129056,55715368,12,320,1011,-79,
Autobusai,8,3787361715,57 kwt,21128942,55715824,1,152,1035,41,
Autobusai,8,3787351700,39 wit,21148298,55697908,4,334,1020,-50,
Autobusai,8,3787331719,97 wit,21195116,55660972,15,338,1039,29,
Autobusai,8,3787271654,92 kwit,21169158,55673500,8,186,1014,151,
Autobusai,8,3787261640,88 kwit,21136508,55719752,0,286,1000,0,
Autobusai,8E,3787291655,99 wit,21155734,55689188,33,150,1015,319,
Autobusai,8E,3787321715,37 wi,21124952,55731312,8,222,1035,46,
Autobusai,8E,3787341708,93 kwit,21167890,55676348,36,340,1028,72,
Autobusai,8E,3787371648,60 kwt,21124116,55730036,0,8,1008,108,
Autobusai,8E,3787311731,38 wi,21194006,55661128,0,166,1051,0,
Autobusai,18,3787631703,2 w,21147104,55699360,16,334,1023,87,
Autobusai,18,3787651637,26 wt,21168120,55675304,1,160,997,535,
Autobusai,18,3787661705,112 wt,21169978,55722224,6,250,1025,213,
Autobusai,18,3787641615,61 kwt,21174332,55665268,0,158,975,0,
Autobusai,25,3787671620,108 wt,21138076,55718960,0,274,980,0,
Autobusai,25,3787681712,24 kwm,21256238,55755612,26,256,1032,49,
Autobusai,41,3787701710,7 w,21167640,55699656,41,146,1030,159,
Autobusai,22,3787931715,50 wt,21202484,55689020,17,328,1035,70,
Autobusai,22B,3787951654,52 wt,21155240,55689704,15,148,1014,233,
Autobusai,28,3787971630,46 wt,21144868,55701988,37,336,990,108,
Autobusai,32,3787991805,JZO 639 kwm,21137840,55719228,0,144,1085,0,
Autobusai,32,3788001715,JZO 643 kwm,21245620,55896264,6,20,1035,266,
Autobusai,40,3814331635,128 wit,21210648,55664232,1,216,995,509,
Autobusai,40,3814321711,33 wit,21192658,55671424,17,160,1031,124,
Autobusai,40,3814351641,109 wt,21262062,55573052,10,314,1001,74,
Autobusai,40,3814311705,35 wi,21277788,55575816,35,318,1025,70,
Autobusai,43,3814341645,107 wt,21167826,55676388,32,336,1005,0,
Autobusai,21,3832431717,503 kwm,21164998,55688232,28,66,1037,106,
Autobusai,21A,3832461657,501 kwm,21141982,55705244,0,314,1017,0,
Autobusai,31,3927491700,JZO 644 kwm,21090638,55866716,88,350,1020,-92,
Autobusai,31,3927501635,JZO 637 kwm,21078568,55913880,0,200,995,0,
Autobusai,1,3927631653,114 wt,21164806,55663464,72,154,1013,-13,
Autobusai,1,3927611710,63 kwt,21154606,55675708,16,336,1030,155,
Autobusai,1,3927651643,65 kwte,21137590,55718976,0,98,1003,0,
Autobusai,1,3927641655,62 kwt,21160736,55705276,34,320,1015,38,
Autobusai,1,3927621713,64 kwte,21160328,55705100,5,308,1033,72,
Autobusai,11,3927661650,4 wt,21211730,55664916,15,36,1010,305,
Autobusai,11,3927691700,28 w,21184030,55685236,0,338,1020,91,
Autobusai,11,3927681716,53 wt,21147772,55698212,11,156,1036,52,
Autobusai,12A,3927671710,25 w,21195122,55666088,35,26,1030,4,
Autobusai,10,3927721610,86 kwit,21159412,55720872,0,180,970,389,
Autobusai,10,3927741648,34 wi,21187682,55676916,14,66,1008,195,
Autobusai,10,3927781634,127 wit,21154306,55691032,37,330,994,-27,
Autobusai,10,3927731701,94 kwit,21151384,55693692,0,154,1021,167,
Autobusai,10,3927771712,95 wit,21143292,55715540,0,244,1032,196,
Autobusai,10,3927751620,36 wi,21132118,55711580,12,330,980,183,
Autobusai,19,3927711710,58 kwt,21183100,55686840,44,340,1030,2,
Autobusai,19,3927761710,89 kwit,21158080,55706680,50,146,1030,164,
Autobusai,11A,3927861708,74 kwmt,21273326,55647404,48,300,1028,18,
Autobusai,11A,3927851702,75 kwmt,21247986,55651296,59,68,1022,240,
Autobusai,11A,3927841643,77 kwmt,21174146,55665480,0,162,1003,0,
Autobusai,29,3927871720,78 kwmt,21174712,55665456,23,340,1040,14,
Autobusai,6A,,MDS 073 wt,21201450,55720704,0,84,,,
Autobusai,6A,3928261710,HMP 076 t,21131484,55711940,11,162,1030,178,
Autobusai,6A,3928241634,JTE 338 t,21201826,55662112,0,340,994,0,
Autobusai,6A,3928251650,HJP 264 ,21136638,55708092,13,312,1010,173,
