2,16,24325073,55722340,32,246,,BHZ628,
2,,24378012,55715382,0,2,,CEJ469,
2,,24377176,55715157,0,32,,DGA468,
2,15,24367407,55728493,35,360,,DOM143,
2,13,24344337,55721416,9,138,,EDO146,
2,6A,24289122,55741882,0,106,,ENV560,
2,10A,24312031,55730343,0,100,,FAO459,
2,16,24340685,55728172,0,100,,FBS690,
2,11,24371071,55718014,4,258,,FBS714,
2,10,24317413,55731647,2,172,,FCJ233,
2,12,24307056,55737698,15,268,,FCK838,
2,,24376678,55715153,0,86,,FDV054,
2,11,24338659,55737465,40,166,,FFF374,
2,6,24356499,55729530,1,162,,FGS413,
2,6,24383429,55728580,24,252,,GCG296,
2,16,24342276,55732254,18,278,,GCG297,
2,11,24393623,55720348,0,140,,GCG298,
2,10,24366482,55725868,7,196,,GCG301,
2,1E,24356569,55737175,28,346,,GHV406,
2,9,24354609,55709656,39,164,,GHV407,
2,,24377403,55715984,0,84,,GUC384,
2,4,24371380,55737251,35,248,,HFH158,
2,8,24344845,55738995,0,0,,HFH291,
2,15,24369806,55739037,30,184,,HFH293,
2,3A,24325346,55728577,21,178,,HFH328,
2,3A,24367277,55729366,30,180,,HFH331,
2,13,24340094,55728298,0,278,,HFH593,
2,3,24366621,55726021,8,352,,HFH594,
2,,24377588,55715157,0,94,,HFH596,
2,16,24378653,55705406,0,328,,JOV157,
2,15,24364931,55774864,35,352,,JOV158,
2,5,24362076,55722111,11,4,,JOV302,
2,3,24357704,55755959,42,274,,JOV305,
2,4,24362120,55721603,8,178,,JOV389,
2,14,24347738,55727669,40,274,,JOV391,
2,7,24362883,55721218,13,72,,JOV469,
2,8,24363537,55749691,30,94,,KDJ271,
2,16,24367325,55728741,33,10,,KDJ273,
2,14,24343233,55727962,24,90,,KDJ274,
2,10,24370192,55741173,13,4,,KDJ275,
2,16,24378912,55705086,0,330,,LHO467,
2,7,24355228,55742256,42,174,,LHO469,
2,5,24366776,55726898,7,210,,LHO470,
2,5,24332598,55735905,29,124,,LHO471,
2,4,24367311,55728706,17,302,,LHO472,
2,10,24342800,55728050,37,278,,LHO473,
2,7,24317839,55750671,45,304,,LHO475,
2,7,24381105,55719555,34,56,,LHO477,
2,14,24362980,55726082,0,280,,LHO478,
2,6A,24401468,55730598,49,74,,LHO479,
2,10,24356607,55726974,4,84,,LZH151,
2,8,24370367,55743080,0,10,,LZH353,
2,3,24324984,55726116,13,0,,LZH354,
2,15,24328993,55731449,22,274,,MDL365,
